sample_name	run	year_uid	uid	curid	year	date	col_area	valley_position	sex	age	ageclass	massjun	massaug	mgr	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	strain	*isol_growth_condt
UDX0007	2	2019_8203_8206	8203_8206	8203_8206	2019	20-Jun-19	boulder	UV	F	3	A	1881.998605	3313.714152	18.83836246	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0008	2	2019_7635_7645	7635_7645	7635_7645	2019	20-Jun-19	boulder	UV	F	4	A	2159.296033	3639.085437	19.47091321	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0009	2	2019_6612_6640	6612_6640	6612_6640	2019	25-Jun-19	gothictown	DV	F	5	A	2673.738436	3676.293778	13.19151766	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0010	2	2019_8496_8499	8496_8499	8496_8499	2019	27-Jun-19	bench	DV	F	2	A	2152.006425	3406.951304	16.51243262	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0011	2	2019_7390_7391	7390_7391	7390_7391	2019	27-Jun-19	rvannex	DV	F	4	A	2363.074288	3178.80896	10.73335095	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0012	2	2019_7733_7734	7733_7734	7733_7744	2019	30-Jun-19	mm_maintalus	UV	F		A	2020.216935	3296.617422	16.79474325	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0013	2	2019_8089_8088	8089_8088	8089_8088	2019	30-Jun-19	mm_aspen	UV	F	3	A	2162.696161	3172.722768	13.28982378	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0014	2	2019_6127_7339	6127_7339	6127_8186	2019	2-Jul-19	picnic_lower	UV	F	7	A	2695.959379	4126.573168	18.82386564	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0015	2	2019_7467_7353	7467_7353	7467_7353	2019	11-Jul-19	rvannex	DV	F	4	A	2382.200502	3493.924438	14.62794653	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0016	2	2019_8491_8492	8491_8492	8491_8492	2019	14-Jul-19	mm_maintalus	UV	F	2	A	1942.456227	4323.771275	31.33309274	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0017	2	2019_8867_8875	8867_8875	8867_8875	2019	18-Jul-19	avalanche	DV	M	0	P	447.7073496	1664.37339	16.00876369	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0018	2	2019_7187_7189	7187_7189	7775_6669	2019	21-Jul-19	gothictown	DV	F	7	A	3021.807948	4469.857563	19.05328441	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0019	2	2019_6687_6677	6687_6677	7191_7646	2019	23-Jul-19	river_rivermound	DV	F	7	A	2718.615977	4026.955616	17.21499525	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0020	2	2019_8340_8334	8340_8334	8340_8334	2019	23-Jul-19	bench	DV	F	2	A	2059.104057	3295.292329	16.26563516	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0021	2	2019_7467_7353	7467_7353	7467_7353	2019	26-Jul-19	rvannex	DV	F	4	A	2382.200502	3493.924438	14.62794653	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0022	2	2019_8203_8206	8203_8206	8203_8206	2019	1-Aug-19	boulder	UV	F	3	A	1881.998605	3313.714152	18.83836246	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0023	2	2019_6612_6640	6612_6640	6612_6640	2019	5-Aug-19	gothictown	DV	F	5	A	2673.738436	3676.293778	13.19151766	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0024	2	2019_7269_7497	7269_7497	7269_7497	2019	11-Aug-19	gothictown	DV	F	2	A	2447.899981	3835.251334	18.25462307	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0025	2	2019_8496_8499	8496_8499	8496_8499	2019	12-Aug-19	bench	DV	F	2	A	2152.006425	3406.951304	16.51243262	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0026	2	2019_6127_7339	6127_7339	6127_8186	2019	14-Aug-19	picnic_lower	UV	F	7	A	2695.959379	4126.573168	18.82386564	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0027	2	2019_7733_7734	7733_7734	7733_7734	2019	14-Aug-19	mm_maintalus	UV	F	4	A	2025.557734	3293.837367	16.68788991	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0028	2	2019_8089_8088	8089_8088	8089_8088	2019	14-Aug-19	mm_aspen	UV	F	3	A	2162.696161	3172.722768	13.28982378	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0029	2	2019_8491_8492	8491_8492	8491_8492	2019	14-Aug-19	mm_maintalus	UV	F	2	A	1942.456227	4323.771275	31.33309274	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0030	2	2019_7310_7303	7310_7303	7851_7303	2019	19-Aug-19	gothictown	DV	F	5	A	2286.49618	3354.593366	14.05391034	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0031	2	2019_8340_8334	8340_8334	8340_8334	2019	20-Aug-19	river_rivermound	DV	F	2	A	2059.104057	3295.292329	16.26563516	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0032	2	2019_6687_6677	6687_6677	7191_7646	2019	21-Aug-19	river_rivermound	DV	F	7	A	2718.615977	4026.955616	17.21499525	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0033	2	2019_8246_8319	8246_8319	8246_8319	2019	26-Aug-19	picnic_lower	UV	F	2	A	1782.365598	3078.028989	17.04820251	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0034	2	2019_7390_7391	7390_7391	7390_7391	2019	27-Aug-19	rvannex	DV	F	4	A	2363.074288	3178.80896	10.73335095	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0035	2	2019_8342_8329	8342_8329	8284_8386	2019	1-Sep-19	bench	DV	F	2	A	2058.520443	2915.147094	11.2714033	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0036	2	2019_8476_8478	8476_8478	8476_8478	2019	2-Sep-19	mm_aspen	UV	F	2	A	1769.292304	3070.687663	17.12362314	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0037	2	2019_7635_7645	7635_7645	7635_7645	2019	5-Sep-19	boulder	UV	F	4	A	2159.296033	3639.085437	19.47091321	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0038	2	2019_8497_8488	8497_8488	8497_8488	2019	5-Sep-19	mm_maintalus	UV	F	2	A	1954.577788	3227.210496	16.74516721	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0039	2	2019_8480_8352	8480_8352	8480_8591	2019	20-Jun-19	northpk	UV	F	1	Y	867.1043619	2611.012059	22.94615391	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0040	2	2019_8514_6207	8514_6207	8514_6207	2019	12-Jun-19	bench	DV	F	1	Y	978.7459677	1953.889478	12.83083566	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0041	2	2019_7480_4846	7480_4846	7480_4846	2019	27-Jun-19	river	DV	F		Y			0	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0042	2	2019_8511_8520	8511_8520	8511_8520	2019	6-Jun-19	gothictown	DV	F	1	Y	1604.248858	3323.890002	22.62685716	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0043	2	2019_8383_8380	8383_8380	8383_8380	2019	5-Jun-19	gothictown	DV	F	1	Y	1860.253766	3879.981343	26.57536286	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0044	2	2019_8554_8555	8554_8555	8194_8716	2019	5-Jun-19	gothictown	DV	F	1	Y	1699.847521	3672.014669	25.94956774	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0045	2	2019_8363_8365	8363_8365	8363_8365	2019	5-Jun-19	gothictown	DV	F	1	Y	1481.742626	3063.996018	20.81912358	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0046	2	2019_8363_8365	8363_8365	8363_8365	2019	25-Jun-19	gothictown	DV	F	1	Y	1481.742626	3063.996018	20.81912358	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0047	2	2019_8357_8368	8357_8368	8969_8368	2019	5-Jun-19	gothictown	DV	F	1	Y	1307.992523	2834.741915	20.08880779	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0048	2	2019_8357_8368	8357_8368	8969_8368	2019	19-Jun-19	gothictown	DV	F	1	Y	1307.992523	2834.741915	20.08880779	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0210	2	2019_8536_7837	8536_7837	8598_7837	2019	13-Jun-19	river_rivermound	DV	F	1	Y	1135.195051	2890.751608	23.09942838	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0050	2	2019_8943_8950	8943_8950	8943_8950	2019	14-Jun-19	rvannex	DV	F	1	Y	804.5855607	2145.442581	17.64285553	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0051	2	2019_8519_8508	8519_8508	8519_8508	2019	24-Jun-19	gothictown	DV	F	1	Y	1698.380997	3371.846749	22.01928621	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0052	2	2019_8918_8385	8918_8385	8918_8385	2019	3-Jul-19	picnic_lower	UV	F	1	Y	699.5077256	2289.785534	20.92470801	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0053	2	2019_8986_8990	8986_8990	8986_8925	2019	2-Jul-19	picnic_lower	UV	F	1	Y	622.6639242	2098.013121	19.41248943	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0054	2	2019_8514_6207	8514_6207	8514_6207	2019	28-Jun-19	bench	DV	F	1	Y	978.7459677	1953.889478	12.83083566	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0055	2	2019_8903_8951	8903_8951	8903_8951	2019	3-Jul-19	picnic_lower	UV	F	1	Y	668.3170181	2222.836502	20.45420374	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0056	2	2019_7480_4846	7480_4846	7480_4846	2019	11-Jul-19	river	DV	F		Y			0	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0057	2	2019_8369_8396	8369_8396	8369_8396	2019	5-Jul-19	northpk	UV	F	1	Y	740.5707664	2140.556245	18.42086156	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0058	2	2019_8369_8396	8369_8396	8369_8396	2019	1-Aug-19	northpk	UV	F	1	Y	740.5707664	2140.556245	18.42086156	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0059	2	2019_8519_8508	8519_8508	8519_8508	2019	16-Jul-19	gothictown	DV	F	1	Y	1698.380997	3371.846749	22.01928621	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0060	2	2019_8511_8520	8511_8520	8511_8520	2019	18-Aug-19	gothictown	DV	F	1	Y	1604.248858	3323.890002	22.62685716	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0061	2	2019_8383_8380	8383_8380	8383_8380	2019	5-Aug-19	gothictown	DV	F	1	Y	1860.253766	3879.981343	26.57536286	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0062	2	2019_8554_8555	8554_8555	8194_8716	2019	19-Aug-19	gothictown	DV	F	1	Y	1699.847521	3672.014669	25.94956774	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0063	2	2019_8918_8385	8918_8385	8918_8385	2019	3-Sep-19	picnic_lower	UV	F	1	Y	699.5077256	2289.785534	20.92470801	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0064	2	2019_8480_8352	8480_8352	8480_8591	2019	28-Aug-19	northpk	UV	F	1	Y	867.1043619	2611.012059	22.94615391	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0065	2	2019_8986_8990	8986_8990	8986_8925	2019	26-Aug-19	picnic_lower	UV	F	1	Y	622.6639242	2098.013121	19.41248943	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0066	2	2019_8903_8951	8903_8951	8903_8951	2019	2-Sep-19	picnic_lower	UV	F	1	Y	668.3170181	2222.836502	20.45420374	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
UDX0067	2	2019_8536_7837	8536_7837	8598_7837	2019	26-Aug-19	bench	DV	F	1	Y	1135.195051	2890.751608	23.09942838	marmot	missing	NA	NA	missing	missing	marmota	missing	missing	missing
